index,price,yearCreation,is_numbered,condition_score,movement_clean
435,2000,1943,0,3,Realism
436,3000,1946,0,3,Realism
437,3000,1937,0,3,Realism
438,3000,1976,0,3,Surrealism
439,35000,1984,1,1,Realism
440,8750,1989,1,2,Pop Art
441,2500,2002,0,2,Other
442,2000,2003,0,2,Other
443,600,1989,0,2,Realism
444,600,1935,0,2,Realism
445,600,1944,0,2,Realism
446,2550,1930,0,2,Realism
447,5500,1913,0,3,Realism
448,6500,1925,0,3,Realism
449,800,1975,0,2,Realism
450,1500,1989,0,1,Realism
451,1500,1989,0,1,Realism
452,800,2012,1,2,Realism
453,800,1989,0,1,Realism
454,800,1981,0,2,Realism
455,800,1977,0,2,Realism
456,1500,1989,0,2,Realism
457,1500,1989,0,1,Realism
458,1500,1989,0,1,Realism
459,1500,1989,0,1,Expressionism
460,800,1980,1,2,Realism
461,800,1990,1,2,Realism
462,800,2001,0,2,Expressionism
463,1500,1989,0,1,Abstract
464,1500,1989,0,1,Expressionism
465,800,2003,0,2,Realism
466,800,1978,0,2,Expressionism
467,800,1989,0,2,Realism
468,800,1990,0,2,Realism
469,1500,1986,0,1,Expressionism
470,800,1989,0,2,Abstract
471,1500,1989,0,2,Realism
472,680,2001,0,2,Realism
473,680,2008,0,2,Minimalism
474,680,2001,0,2,Realism
475,900,1994,0,2,Surrealism
476,2600,1850,0,2,Impressionism
477,800,1978,0,2,Expressionism
478,1500,1980,0,1,Expressionism
479,1500,1983,0,1,Realism
480,1875,1920,0,2,Impressionism
481,800,1987,0,2,Expressionism
482,800,1990,0,2,Expressionism
483,800,1985,0,2,Expressionism
484,1500,1979,0,1,Expressionism
485,1500,1979,0,1,Expressionism
486,800,1983,0,2,Expressionism
487,800,1977,0,2,Realism
488,800,1987,0,2,Surrealism
489,3000,2050,0,2,Pop Art
490,1500,1977,0,2,Expressionism
491,800,1989,0,3,Expressionism
492,3000,2050,0,2,Pop Art
493,1500,1988,0,2,Abstract
494,3000,2050,0,2,Pop Art
495,800,1986,0,2,Expressionism
496,800,1973,0,2,Expressionism
497,2160,1920,0,2,Impressionism
498,1500,1993,0,2,Realism
499,800,1986,0,2,Expressionism
500,3000,2050,0,2,Pop Art
501,800,1987,0,1,Expressionism
502,800,2001,0,2,Realism
503,800,1972,0,2,Realism
504,800,1989,0,2,Expressionism
505,4500,1953,0,3,Realism
506,800,1988,0,2,Expressionism
507,800,2001,0,2,Realism
508,1500,1978,0,2,Expressionism
509,7000,1941,0,2,Realism
510,1500,1987,0,1,Expressionism
511,3000,2050,0,2,Pop Art
512,1500,2050,0,2,Expressionism
513,800,1986,0,2,Realism
514,800,1976,0,2,Realism
515,800,1987,0,2,Expressionism
516,800,1990,0,2,Expressionism
517,800,1985,0,2,Realism
518,800,1986,0,2,Expressionism
519,800,1976,1,2,Impressionism
520,1500,1986,0,3,Realism
521,800,1982,0,2,Conceptual 
522,800,1982,0,2,Conceptual 
523,1500,1974,0,2,Other
524,800,1979,0,2,Expressionism
525,800,1986,0,1,Abstract
526,1500,1984,0,2,Impressionism
527,1500,1989,0,2,Surrealism
528,1500,1984,0,2,Expressionism
529,1500,1981,0,2,Realism
530,1500,1990,0,1,Realism
531,1500,1988,0,2,Realism
532,1500,1985,0,2,Expressionism
533,800,1989,0,2,Expressionism
534,800,1990,0,2,Expressionism
535,1500,1977,0,2,Impressionism
536,800,2000,0,2,Abstract
537,800,1986,0,2,Abstract
538,800,1984,0,2,Realism
539,800,2001,0,3,Conceptual 
540,800,1952,0,2,Conceptual 
541,800,1979,0,2,Expressionism
542,1500,1984,0,1,Expressionism
543,1500,1983,0,2,Other
544,1500,1980,0,2,Expressionism
545,800,2003,0,2,Expressionism
546,800,1979,0,3,Expressionism
547,800,1986,0,2,Abstract
548,800,1977,0,2,Expressionism
549,800,2006,0,2,Realism
550,800,1977,0,2,Impressionism
551,800,1988,0,2,Expressionism
552,800,1986,1,2,Realism
553,800,1982,0,2,Conceptual 
554,800,2001,0,2,Impressionism
555,800,1989,0,2,Expressionism
556,800,1979,0,2,Realism
557,800,2012,0,2,Conceptual 
558,1500,1981,0,1,Expressionism
559,800,1986,0,2,Expressionism
560,1500,1988,0,2,Abstract
561,1500,1981,0,2,Conceptual 
562,800,1985,0,2,Expressionism
563,800,1986,0,2,Realism
564,800,1972,0,2,Other
565,1500,2009,0,2,Conceptual 
566,800,1980,0,2,Realism
567,1500,1974,0,2,Expressionism
568,800,1982,0,2,Conceptual 
569,800,1976,0,2,Expressionism
570,800,1990,0,2,Other
571,800,1986,0,2,Abstract
572,1500,1978,0,2,Impressionism
573,800,2008,0,2,Surrealism
574,1500,1979,0,2,Abstract
575,800,2011,0,2,Expressionism
576,800,1987,0,2,Expressionism
577,800,1986,0,2,Expressionism
578,1500,1977,0,3,Abstract
579,1500,1990,0,2,Expressionism
580,800,2011,0,2,Abstract
581,1500,1984,0,2,Expressionism
582,1500,1983,0,2,Expressionism
583,1500,1989,0,2,Impressionism
584,1500,1990,0,2,Expressionism
585,1500,1980,0,2,Realism
586,800,1987,1,2,Abstract
587,1500,1990,0,2,Expressionism
588,1500,1976,0,2,Surrealism
589,1500,1989,0,2,Expressionism
590,800,1980,1,2,Minimalism
591,800,2000,0,2,Expressionism
592,800,1970,1,2,Other
593,800,1989,0,2,Surrealism
594,800,1982,0,2,Conceptual 
595,1500,1989,0,2,Expressionism
596,800,1991,0,2,Surrealism
597,800,2006,0,2,Realism
598,800,1989,0,2,Expressionism
599,800,1987,0,2,Expressionism
600,1500,1977,0,2,Impressionism
601,1500,1978,0,2,Expressionism
602,800,1931,1,2,Realism
603,800,2012,0,2,Pop Art
604,1500,1970,0,2,Realism
605,1500,1990,0,3,Minimalism
606,800,2011,0,2,Expressionism
607,800,1954,0,2,Expressionism
608,1500,1989,0,2,Expressionism
609,1500,1989,0,3,Surrealism
610,1500,1989,0,2,Abstract
611,1500,1989,0,2,Abstract
612,800,1980,1,2,Minimalism
613,800,2012,0,2,Realism
614,1500,1980,0,2,Realism
615,800,1993,0,2,Expressionism
616,800,1984,0,2,Expressionism
617,1275,1979,0,2,Abstract
618,1275,1987,0,2,Abstract
619,1500,2008,0,2,Minimalism
620,680,2012,0,2,Abstract
621,800,1989,0,1,Abstract
622,800,1989,0,2,Abstract
623,1500,1977,0,2,Minimalism
624,1500,2012,0,2,Pop Art
625,1500,2008,0,2,Minimalism
626,1500,2008,0,2,Abstract
627,680,1975,0,2,Pop Art
628,1275,1975,0,2,Abstract
629,1500,1974,0,2,Minimalism
630,680,2012,0,2,Abstract
631,1275,1991,0,2,Abstract
632,1275,1985,0,2,Abstract
633,1500,2012,0,2,Pop Art
634,800,2011,0,2,Conceptual 
635,680,1989,0,2,Abstract
636,680,2012,0,2,Abstract
637,680,1988,0,2,Abstract
638,1275,1980,0,2,Abstract
639,800,1992,0,2,Abstract
640,1275,1979,0,2,Abstract
641,1275,2004,0,1,Abstract
642,800,1988,0,2,Conceptual 
643,680,1971,0,2,Abstract
644,1275,1987,0,2,Abstract
645,800,2005,0,2,Abstract
646,1500,1988,0,2,Surrealism
647,800,1979,0,2,Abstract
648,1500,2012,0,2,Pop Art
649,1500,2011,0,2,Pop Art
650,1275,2002,0,2,Abstract
651,680,1974,0,2,Abstract
652,1275,1978,0,1,Abstract
653,1275,1979,0,2,Abstract
654,800,2001,0,2,Expressionism
655,1500,1974,0,2,Minimalism
656,1275,1971,0,2,Abstract
657,680,1986,0,2,Abstract
658,1275,1986,0,2,Abstract
659,800,1975,0,2,Pop Art
660,1500,2011,0,2,Pop Art
661,1275,1987,0,1,Abstract
662,680,2011,0,1,Abstract
663,680,2013,0,2,Abstract
664,1500,2011,0,2,Abstract
665,680,2012,0,2,Abstract
666,1275,1975,0,1,Geometric Abstraction
667,1500,2012,0,2,Pop Art
668,800,2001,0,2,Surrealism
669,680,2009,0,1,Abstract
670,800,2002,0,2,Abstract
671,1500,2012,0,2,Expressionism
672,1500,1990,0,2,Expressionism
673,800,2001,0,2,Abstract
674,1500,1988,0,2,Expressionism
675,680,1975,0,2,Abstract
676,1500,2011,0,2,Abstract
677,1500,1950,0,2,Conceptual 
678,1275,2000,0,1,Conceptual 
679,1275,1989,0,2,Abstract
680,1500,1977,0,2,Minimalism
681,1275,1990,0,2,Abstract
682,1275,2050,0,2,Abstract
683,800,2005,0,2,Pop Art
684,680,2011,0,1,Abstract
685,1500,2011,0,2,Pop Art
686,680,1997,0,1,Abstract
687,800,1989,0,2,Abstract
688,680,1997,0,1,Abstract
689,800,2002,0,2,Abstract
690,1275,1975,0,1,Abstract
