,title,artist,price,size,painting type,url,path,material,style,area,original
1659,"Little Things – Original Abstract Oil And Spray Paint Artwork, Paintings",Evgenia Makarova,2605,31.5 x 39.4 in,Print of Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/2623063/art/12690157/11752345-RAGPJFUX-7.jpg,saatchi_art_images/1660.jpg.jpg,Oil on Canvas,Abstract Expressionism Abstract,1241.1,0
1660,"Whirled World, Paintings",Michelle Louis,3694,43 x 51 in,Original Painterly Abstraction Abstract Paintings,https://images.saatchiart.com/saatchi/889067/art/11961087/11023315-HEAEJOCT-7.jpg,saatchi_art_images/1661.jpg.jpg,Acrylic on Canvas,Painterly Abstraction Abstract,2193.0,1
1661,"Just A Thought, Paintings",Michelle Louis,4260,38 x 72 in,Original Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/889067/art/10898967/9961377-TDZHDMMG-7.jpg,saatchi_art_images/1662.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,2736.0,1
1662,"Flying Gold, Paintings",Michelle Louis,2864,40 x 40 in,Original Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/889067/art/8600978/7664721-HSC00001-7.jpg,saatchi_art_images/1663.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,1600.0,1
1663,"Abstract Sunset Landscape, Paintings",Danuta Antas-WoźNiewska,1583,23.6 x 31.5 in,Original Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/115745/art/7835975/6903858-MNCKRELP-7.jpg,saatchi_art_images/1664.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,743.4000000000001,1
1664,"Abstract Landscape 193, Paintings",Michelle Louis,1688,38 x 48 in,Original Abstract Landscape Paintings,https://images.saatchiart.com/saatchi/889067/art/4882375/3952203-HSC00001-7.jpg,saatchi_art_images/1665.jpg.jpg,Acrylic on Canvas,Abstract Landscape,1824.0,1
1665,"Mona L # 7, Paintings",Mister Artsy Urban Streetart Pop Studio Amsterdam,573,27.6 x 39.4 in,Print of Street Art Graffiti Paintings,https://images.saatchiart.com/saatchi/84472/art/12838611/11900789-PDWBXLCY-7.jpg,saatchi_art_images/1666.jpg.jpg,Spray Paint on Paper,Street Art Graffiti,1087.44,0
1666,"No Title, Paintings",Johannes Van Uden,1890,39.4 x 39.4 in,Original Abstract Paintings,https://images.saatchiart.com/saatchi/12807/art/12687235/11749423-LWEZREAO-7.jpg,saatchi_art_images/1667.jpg.jpg,Oil on Canvas,Abstract,1552.36,1
1667,"Night, Paintings",Victoria Huts,1159,23.2 x 32.3 in,Original Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/2345747/art/12686753/11748941-KVMWTGVS-7.jpg,saatchi_art_images/1668.jpg.jpg,Oil on Canvas,Abstract Expressionism Abstract,749.3599999999999,1
1668,"Night Kisses Day, Paintings",Daniela Schweinsberg,4939,63 x 47.2 in,Print of Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/736657/art/12095567/11157765-ISQNNHHR-7.jpg,saatchi_art_images/1669.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,2973.6000000000004,0
1669,"Day To Day, Paintings",Michelle Louis,16860,128 x 62 in,Original Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/889067/art/11586153/10648399-BWOZOLOO-7.jpg,saatchi_art_images/1670.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,7936.0,1
1670,"Sent You Flowers (Remember When We Fell In Love) Ii, Paintings",Daniela Schweinsberg,6669,63 x 78.7 in,Original Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/736657/art/9158551/8221703-XZTTOMNJ-7.jpg,saatchi_art_images/1671.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,4958.1,1
1671,"Seekers, Paintings",Eric White,1373,53 x 56 in,Print of Abstract Mortality Paintings,https://images.saatchiart.com/saatchi/159485/art/7979370/7046782-HSC00001-7.jpg,saatchi_art_images/1672.jpg.jpg,Oil on Canvas,Abstract Mortality,2968.0,0
1672,"When Sky Is Grey, Paintings",Vytautas Laisonas,2115,31.5 x 23.6 in,Original Impressionism Landscape Paintings,https://images.saatchiart.com/saatchi/773195/art/7784650/6852644-HSC00001-7.jpg,saatchi_art_images/1673.jpg.jpg,Oil on Canvas,Impressionism Landscape,743.4000000000001,1
1673,"A Rat'S Love, Paintings",Daniel Malta,1605,34.6 x 42.5 in,Original Expressionism Animal Paintings,https://images.saatchiart.com/saatchi/415915/art/7324851/6394059-HSC00001-7.jpg,saatchi_art_images/1674.jpg.jpg,Acrylic on Cardboard,Expressionism Animal,1470.5,1
1674,"Waiting, Paintings",Mieke Jonker,2735,15.7 x 19.7 in,Print of Figurative Dogs Paintings,https://images.saatchiart.com/saatchi/724095/art/4543793/3613631-JVATMQLE-7.jpg,saatchi_art_images/1675.jpg.jpg,Oil on Canvas,Figurative Dogs,309.28999999999996,0
1675,"Highway To Taos, Paintings",Shellie Garber,670,18 x 24 in,Original Abstract Landscape Paintings,https://images.saatchiart.com/saatchi/867774/art/12872357/11934535-CQHJEAYY-7.jpg,saatchi_art_images/1676.jpg.jpg,Acrylic on Paper,Abstract Landscape,432.0,1
1676,"Copy Of 60x60 Huge Rothko Inspired Deep Thoughts Sunset In Orange Blue, Paintings",Robert Erod,7675,60 x 60 in,Original Abstract Expressionism Abstract Paintings,https://images.saatchiart.com/saatchi/299791/art/12693093/11755281-HFMUPZVU-7.jpg,saatchi_art_images/1677.jpg.jpg,Acrylic on Canvas,Abstract Expressionism Abstract,3600.0,1
1677,"Bananes, Paintings",Arnaud Jeuland,750,19.7 x 19.7 in,Original Figurative Still Life Paintings,https://images.saatchiart.com/saatchi/2744541/art/12691775/11753963-LGITEFHK-7.jpg,saatchi_art_images/1678.jpg.jpg,Acrylic on Canvas,Figurative Still Life,388.09,1
1678,"Fisherman'S House, Paintings",Ekaterina Medvedok,470,15.7 x 11.8 in,Print of Contemporary Landscape Paintings,https://images.saatchiart.com/saatchi/2265707/art/11135017/10197293-BJARDHDQ-7.jpg,saatchi_art_images/1679.jpg.jpg,Oil on Canvas,Contemporary Landscape,185.26,0
1679,"Striped Structure, Paintings",Eric White,250,20 x 16 in,Print of Abstract Paintings,https://images.saatchiart.com/saatchi/159485/art/4596519/3666357-HSC00001-7.jpg,saatchi_art_images/1680.jpg.jpg,Oil on Canvas,Abstract,320.0,0
1680,"What Remains? Ii, Paintings",Mieke Jonker,3865,39.4 x 31.5 in,Print of Figurative Architecture Paintings,https://images.saatchiart.com/saatchi/724095/art/2469977/1539987-OEVIXVLY-7.jpg,saatchi_art_images/1681.jpg.jpg,Oil on Canvas,Figurative Architecture,1241.1,0
